Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
American Samoa,ASM,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,14.06584296,34.64639212,29.31617794,33.60996159,42.04946735,43.82620542,46.343251,51.22928065,50.19285012,55.9672488,53.30214172,55.07887978,61.889709,69.14472273,73.73462938,61.54916754,69.67774415,78.26531145,73.76424168,67.01263707,74.91912142,75.06718295,71.88386057,90.45077327,87.13419554,74.94873373,83.75839327,68.1379045,84.06932239,71.36564531,53.43539707,51.00718839,58.58838162,70.92146079,90.46557939,100,96.94534312,88.09659534,96.73509579,105.3556808,103.3469303,105.2717299,
Antigua and Barbuda,ATG,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,19.73985156,25.00892553,31.33470197,24.57013684,29.75483705,37.52782659,46.8100688,55.72616495,56.43634841,43.41255834,57.45988791,66.5833089,70.43427194,72.95104662,77.04182066,77.03368471,81.40933508,84.47275828,85.78832785,92.25030578,90.69051802,86.01115468,89.13073024,94.12539355,101.1493407,112.7503737,139.0842709,162.2749727,165.5026193,118.9598889,111.6874898,95.91447016,109.7081191,112.0973566,118.6223656,100,106.5121139,123.5031051,155.7022498,156.1777623,110.9942756,132.6991681,
Australia,AUS,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.39207133,31.37978566,31.60261455,30.9972931,33.1690355,34.30620147,30.64161099,34.86293798,42.72616969,52.46215213,60.0865838,66.78775756,79.29754247,96.05383415,79.36229042,96.70898757,116.8825325,125.1506068,116.1338543,113.8373457,100,94.133713,109.7260926,112.8943656,106.2650689,101.5938515,125.2584262,
Austria,AUT,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.45046943,43.83878984,42.13107158,44.49974955,45.74790852,46.27832274,47.82744581,50.17699991,63.78352889,76.83981693,81.59598464,87.93054063,104.4804063,118.1020181,91.68040459,101.8989508,122.6674627,114.397851,117.4484146,116.6809537,100,101.0579317,112.6304046,124.1439959,118.3997638,110.5119427,140.6765189,
Azerbaijan,AZE,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24771339,10.4267254,8.614797053,11.67976842,11.23669343,12.71604804,15.52616446,18.07045905,28.4939295,38.14814413,47.19538447,57.1716341,65.58767238,82.17691799,70.67605543,73.19322534,110.3048922,113.0282097,111.9770959,99.68535376,100,92.10563435,95.29766619,124.4035284,148.2906029,116.4408085,127.0064123,
Burundi,BDI,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,19.6036075,18.81521082,24.8419644,21.19265394,21.81569272,21.71720148,23.51758398,24.69236042,23.83289598,21.78896939,26.92159991,29.78776498,25.83831298,22.86817197,26.20147025,27.3310854,14.82829946,14.16850152,18.39300547,13.78083813,17.26035623,16.26039008,15.1011342,18.27502605,20.56459725,31.4189386,50.26589066,37.2382071,46.99199053,46.93796039,59.37446313,87.78801859,87.64868383,94.66431747,89.76846268,100,71.86900026,88.13775585,92.5951846,103.563421,106.1330621,120.1481087,
Belgium,BEL,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.92495997,44.65164222,43.12255514,44.9574713,43.92849337,47.1527985,47.57649125,52.80832199,62.56352456,76.05799257,84.8666881,93.63700272,109.5938936,124.1731334,94.09739868,104.1666664,124.3423471,116.9356459,120.2524119,120.8159468,100,101.0330634,108.9712941,121.212055,114.220668,105.8332155,135.8634782,
Benin,BEN,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,12.93098506,21.19496407,18.12711161,12.4002246,11.24850603,12.93059459,15.09182401,13.63932946,12.75035548,8.094594853,10.35340173,9.419211777,22.57307484,22.3086122,16.83306817,29.1183495,25.54969499,26.62118558,28.72718651,29.25334505,23.93759739,24.32809654,28.30279203,34.8245182,34.90183705,39.75281263,47.95329461,79.54467516,89.39985821,80.60827767,80.20379868,83.12875438,91.32837727,117.5449526,149.4791665,100,112.1632552,136.4364951,170.8378685,153.5296969,138.8301377,169.1896887,
Burkina Faso,BFA,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,11.64176324,10.95943831,11.26745204,9.441349758,8.209424699,10.77879233,13.14329365,14.09304865,14.73430292,12.70210059,17.39022737,17.29243699,15.13088642,16.51274375,11.32689898,14.7651465,21.00538717,19.07396218,23.75140736,22.01257616,19.83729209,21.29830379,23.99305868,30.031907,41.23299665,40.90832739,48.7557131,54.48317143,65.50984874,60.72227577,66.49927832,78.12828206,116.0705609,141.4235942,116.1084823,100,108.5957503,125.3619784,139.6490819,139.0886378,133.9423053,149.8026261,
Bangladesh,BGD,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,6.567786437,6.820797942,6.226402858,5.470552471,7.139589404,6.424728295,6.434204855,6.861231263,7.685919378,9.224761021,9.143237338,8.62217819,9.429909581,10.093572,11.63082158,15.9201661,16.72402271,17.273404,17.82516357,19.81340062,21.12620787,21.44727485,20.43413014,24.81491084,28.62490577,33.03184747,38.13324518,44.22638315,56.74561745,51.92485607,66.16643637,86.12657651,81.27299494,88.1985288,97.79124939,100,106.4793697,125.6591981,143.8739229,140.5414854,125.5823799,191.3273861,
